p,max_size,num_components,sizes
1e-05,4,9500,"{1: 9048, 3: 46, 2: 405, 4: 1}"
1e-05,4,9519,"{1: 9075, 2: 411, 3: 29, 4: 4}"
1e-05,5,9490,"{1: 9019, 2: 438, 3: 28, 4: 4, 5: 1}"
1e-05,4,9469,"{1: 8978, 2: 453, 3: 36, 4: 2}"
1e-05,6,9497,"{1: 9034, 2: 430, 3: 29, 5: 1, 6: 1, 4: 2}"
1e-05,4,9504,"{1: 9040, 2: 434, 3: 28, 4: 2}"
1e-05,5,9467,"{1: 8985, 2: 438, 3: 39, 4: 3, 5: 2}"
1e-05,5,9511,"{1: 9072, 2: 398, 3: 34, 4: 5, 5: 2}"
1e-05,4,9486,"{1: 9022, 3: 44, 2: 417, 4: 3}"
1e-05,5,9481,"{1: 9019, 2: 413, 3: 42, 5: 1, 4: 6}"
2e-05,8,9034,"{1: 8231, 2: 678, 3: 100, 5: 5, 4: 17, 6: 2, 8: 1}"
2e-05,6,8940,"{1: 8089, 2: 697, 3: 119, 4: 20, 5: 10, 6: 5}"
2e-05,6,8998,"{1: 8166, 3: 102, 2: 702, 5: 8, 4: 18, 6: 2}"
2e-05,6,9008,"{1: 8213, 2: 641, 4: 26, 5: 7, 3: 120, 6: 1}"
2e-05,6,8973,"{1: 8159, 2: 650, 3: 124, 4: 33, 5: 5, 6: 2}"
2e-05,7,8917,"{1: 8059, 2: 690, 3: 125, 4: 32, 5: 9, 6: 1, 7: 1}"
2e-05,7,8984,"{1: 8165, 2: 673, 3: 111, 5: 9, 4: 23, 7: 1, 6: 2}"
2e-05,7,9015,"{2: 673, 1: 8209, 3: 98, 4: 28, 5: 4, 6: 2, 7: 1}"
2e-05,6,9007,"{4: 24, 3: 110, 1: 8191, 2: 676, 5: 5, 6: 1}"
2e-05,6,8983,"{1: 8155, 3: 116, 2: 680, 4: 24, 5: 7, 6: 1}"
3e-05,8,8514,"{2: 830, 1: 7414, 3: 192, 5: 20, 4: 51, 8: 1, 6: 4, 7: 2}"
3e-05,11,8482,"{1: 7419, 2: 786, 8: 3, 5: 25, 3: 183, 4: 52, 7: 4, 9: 2, 6: 6, 10: 1, 11: 1}"
3e-05,9,8424,"{1: 7302, 2: 826, 3: 197, 5: 19, 4: 67, 7: 5, 8: 3, 6: 4, 9: 1}"
3e-05,8,8493,"{1: 7399, 2: 809, 4: 47, 3: 206, 6: 10, 5: 19, 7: 2, 8: 1}"
3e-05,10,8494,"{1: 7409, 2: 807, 3: 193, 4: 48, 5: 24, 6: 8, 10: 1, 7: 4}"
3e-05,8,8547,"{1: 7448, 2: 869, 4: 40, 3: 159, 8: 2, 5: 17, 6: 8, 7: 4}"
3e-05,11,8432,"{1: 7293, 3: 194, 2: 857, 5: 16, 4: 57, 6: 9, 8: 1, 11: 1, 9: 1, 7: 3}"
3e-05,9,8511,"{2: 797, 1: 7448, 3: 176, 5: 23, 6: 12, 4: 48, 7: 6, 9: 1}"
3e-05,9,8471,"{1: 7345, 2: 848, 3: 190, 4: 61, 6: 4, 5: 21, 9: 1, 7: 1}"
3e-05,11,8483,"{1: 7366, 3: 176, 2: 854, 4: 61, 5: 17, 11: 1, 8: 2, 6: 3, 7: 2, 10: 1}"
4e-05,13,7983,"{1: 6693, 2: 868, 3: 266, 5: 31, 10: 2, 4: 87, 6: 23, 7: 4, 8: 3, 9: 4, 13: 1, 11: 1}"
4e-05,10,7936,"{4: 91, 2: 894, 3: 267, 1: 6608, 5: 43, 6: 20, 8: 3, 10: 2, 7: 6, 9: 2}"
